id|treatment
5d6c2b66-27b8-4c31-8670-c9e0cc1c9a3d|1.4
d628fd57-c4cd-4bfd-855e-59da588a3925|1.4
e185f40d-e88d-41bd-a2fd-2cd0fbaf7ce1|1.5
0351b627-06b4-451e-8bbc-842e318ec84b|1.4
1ab70e83-0947-4ef7-9a36-2367c0c68f5a|1.4
92af29aa-2d69-4e5e-896f-782f3a01d621|1.4
17d85303-d2f3-4b97-8dc7-27d3c2e755f6|1.5
e981ebe0-a502-4c01-adaa-b3ce5533916e|1.4
a4591f6f-cc52-455f-a359-f9dcc223e8bd|1.4
425623d1-9c69-4cfb-b9a8-ab54882dcd87|1.4
64eca2eb-a72a-49d9-9bbf-cc11f5edd677|1.4
7e4a4a0b-f12d-4b08-b208-1999c675057a|1.4
4123bd89-138e-4499-a3ff-e9a688577e47|1.4
cc140be3-f58f-4385-881a-69afe75b943c|1.5
5a9dc98e-d83e-4a71-a62f-c35d372565ba|1.4
6cdb2ecd-1b0a-4ef6-b3bb-7923917510a7|1.4
efe468db-6c1f-48d8-b800-4d209afa3dbd|1.4
9c011569-defa-47e0-bb80-aba75df7628a|1.5
1fb16953-1966-47a1-accd-b48c3104529b|1.4
2dfc128a-ba95-41e9-bf65-3cac697ae9f8|1.5
6babe00b-c510-4a2f-bca7-c2b53688dd58|1.4
1becebb6-d4f4-4ed5-8d33-a6f2c973d697|1.5
5715cf66-af5a-4d10-a672-b88dde3ddab2|1.5
8364491e-0cd4-43b4-b9d8-3827732bd206|1.5
228cdfaf-880c-4bac-aefc-2b222bea4d16|1.4
348efabf-bb5d-4c59-9dc8-1fe13441a673|1.4
aa4b257d-d4b1-4f68-80b7-50d355854faa|1.5
0befbf38-92e0-4b79-9da6-fc72051e382e|1.5
761665e6-dde6-4a70-9d46-4e7e79d32751|1.4
eac98d52-834e-4728-8755-14bf8848bf4d|1.4
857d3150-2344-4a87-81fc-8db05ea0be2d|1.4
3ac369cc-975a-4313-9566-37285a95a878|1.4
bf083fb2-7bd3-4385-a93e-38d1d2401c1c|1.4
4e093b2a-88f1-41ad-aeba-8edd140d1158|1.4
26d2f02e-5b2a-4fcc-aa44-96359f3257f8|1.5
d3accad1-001f-44d2-afc1-09161a3823ee|1.5
2f6e8362-80ae-4544-80f1-b9df0b11954f|1.4
5ca8a9c4-1812-47be-bd64-96ab2e1b2b7f|1.5
9375a5d5-60eb-49df-a08a-1d8a42ac5592|1.4
bce24e4b-018e-40c6-a8a9-404f631927f9|1.4
97badd1f-87a0-421f-a826-e20a4efa9432|1.4
d4a69640-6db8-4ce5-a90b-444755fe0cda|1.5
