Retailer,Retailer ID,Date,Month,Region,State,Beverage Brand,Price per Unit,Units Sold,Total Revenue
Rewe,1185732,2022-01-14,January,Northeast,Saxony,Fritz-Kola,0.46,12000,5520.0
Rewe,1185732,2022-01-14,January,Northeast,North Rhine-Westphalia,Fritz-Kola,0.46,10000,4600.0
Lidl,1185732,2022-01-14,January,Northeast,Bavaria,Bionade,0.37,10000,3700.0
Metro,1185732,2022-01-14,January,Northeast,Saxony-Anhalt,Mezzo Mix,0.41,8500,3485.0
Penny,1185732,2022-01-14,January,Northeast,Hesse,Vita Cola,0.55,9000,4950.0
Lidl,1185732,2022-01-14,January,Northeast,Saxony-Anhalt,Gerolsteiner,0.46,10000,4600.0
Kaufland,1185732,2022-02-12,February,Northeast,Saxony-Anhalt,Gerolsteiner,0.46,12500,5750.0
Lidl,1185732,2022-02-12,February,Northeast,Baden-Württemberg,Mezzo Mix,0.46,9000,4140.0
Netto,1185732,2022-02-12,February,Northeast,Baden-Württemberg,Gerolsteiner,0.37,9500,3515.0
Lidl,1185732,2022-02-12,February,Northeast,Mecklenburg-Vorpommern,Fritz-Kola,0.41,8250,3382.5
Netto,1185732,2022-02-12,February,Northeast,Baden-Württemberg,Bionade,0.55,9000,4950.0
Edeka,1185732,2022-02-12,February,Northeast,Thuringia,Gerolsteiner,0.46,10000,4600.0
Aldi,1185732,2022-03-10,March,Northeast,North Rhine-Westphalia,Bionade,0.46,12200,5612.0
Penny,1185732,2022-03-10,March,Northeast,Berlin,Vita Cola,0.46,9250,4255.0
Penny,1185732,2022-03-10,March,Northeast,Mecklenburg-Vorpommern,Club-Mate,0.37,9500,3515.0
Penny,1185732,2022-03-10,March,Northeast,Saxony,Mezzo Mix,0.41,8000,3280.0
Aldi,1185732,2022-03-10,March,Northeast,Brandenburg,Bionade,0.55,8500,4675.0
Netto,1185732,2022-03-10,March,Northeast,Hesse,Vita Cola,0.46,9500,4370.0
Metro,1185732,2022-04-11,April,Northeast,Schleswig-Holstein,Club-Mate,0.46,12000,5520.0
Aldi,1185732,2022-04-11,April,Northeast,North Rhine-Westphalia,Mezzo Mix,0.46,9000,4140.0
Penny,1185732,2022-04-11,April,Northeast,Baden-Württemberg,Gerolsteiner,0.37,9000,3330.0
Metro,1185732,2022-04-11,April,Northeast,North Rhine-Westphalia,Vita Cola,0.41,8250,3382.5
Lidl,1185732,2022-04-11,April,Northeast,Baden-Württemberg,Bionade,0.55,8250,4537.5
Netto,1185732,2022-04-11,April,Northeast,Schleswig-Holstein,Gerolsteiner,0.46,9500,4370.0
Kaufland,1185732,2022-05-10,May,Northeast,Saxony,Bionade,0.55,12200,6710.000000000001
Metro,1185732,2022-05-10,May,Northeast,Mecklenburg-Vorpommern,Vita Cola,0.51,9250,4717.5
Lidl,1185732,2022-05-10,May,Northeast,Mecklenburg-Vorpommern,Mezzo Mix,0.46,9000,4140.0
Edeka,1185732,2022-05-10,May,Northeast,Bavaria,Gerolsteiner,0.46,8500,3910.0
Rewe,1185732,2022-05-10,May,Northeast,Hesse,Mezzo Mix,0.55,8750,4812.5
Aldi,1185732,2022-05-10,May,Northeast,Saxony,Gerolsteiner,0.6,10000,6000.0
Rewe,1185732,2022-06-12,June,Northeast,Berlin,Club-Mate,0.55,12500,6875.000000000001
Lidl,1185732,2022-06-12,June,Northeast,Berlin,Vita Cola,0.51,10000,5100.0
Metro,1185732,2022-06-12,June,Northeast,Baden-Württemberg,Gerolsteiner,0.46,9250,4255.0
Penny,1185732,2022-06-12,June,Northeast,Berlin,Club-Mate,0.46,9000,4140.0
Edeka,1185732,2022-06-12,June,Northeast,Thuringia,Mezzo Mix,0.55,9000,4950.0
Edeka,1185732,2022-06-12,June,Northeast,Thuringia,Bionade,0.6,10500,6300.0
